Frame,Camera,Status,PointIdx,X,Y,Radius,Metric
530,1,Filtered_Large,1,1013.503070,615.777469,4.0179,0.5
530,2,Filtered_Small,0,279.542055,548.443313,2.1758,0.5
530,2,Filtered_Large,1,304.470048,299.363835,3.4508,0.5
530,3,Filtered_Small,0,446.725918,215.792270,13.7572,0.5
530,3,Filtered_Large,1,490.915763,475.738950,13.3591,0.5
534,0,Filtered_Small,0,833.350037,219.690816,2.9615,0.5
534,0,Filtered_Large,1,787.243415,550.243728,3.9833,0.5
534,1,Filtered_Small,0,1045.666001,614.100470,4.2516,0.5
534,1,Filtered_Large,1,1030.906887,617.111928,3.9766,0.5
534,2,Filtered_Small,0,263.140635,549.747156,2.1374,0.5
534,2,Filtered_Large,1,290.900583,301.322542,3.1896,0.5
534,3,Filtered_Small,0,432.041308,217.683766,13.8057,0.5
534,3,Filtered_Large,1,474.299982,476.734281,13.5103,0.5
539,0,Filtered_Small,0,850.706396,224.906134,3.7139,0.5
539,0,Filtered_Large,1,807.626294,554.837417,4.3263,0.5
539,1,Filtered_Small,0,1010.669050,329.890199,2.9664,0.5
539,1,Filtered_Large,1,1050.143726,619.393855,10.9748,0.5
539,2,Filtered_Small,0,250.818065,553.848037,2.3094,0.5
539,2,Filtered_Large,1,280.716231,305.524520,3.5982,0.5
539,3,Filtered_Small,0,418.225460,222.365603,13.7038,0.5
539,3,Filtered_Large,1,458.674162,480.796717,13.3339,0.5
549,0,Filtered_Small,0,863.067316,239.090960,3.7279,0.5
549,0,Filtered_Large,1,822.818129,567.516056,4.2659,0.5
549,1,Filtered_Small,0,1013.911834,341.449414,2.5754,0.5
549,1,Filtered_Large,1,1040.297160,632.587627,11.9273,0.5
549,2,Filtered_Small,0,254.248946,564.963708,2.2691,0.5
549,2,Filtered_Large,1,286.327116,316.098723,3.6480,0.5
549,3,Filtered_Small,0,407.204441,233.072076,14.0680,0.5
549,3,Filtered_Large,1,446.137845,492.403677,13.6466,0.5
560,0,Filtered_Small,0,837.163855,246.272003,3.1560,0.5
560,0,Filtered_Large,1,794.637191,570.479036,3.8338,0.5
560,1,Filtered_Small,0,972.812831,637.404434,3.9124,0.5
560,1,Filtered_Large,1,987.871912,635.599062,3.7157,0.5
560,2,Filtered_Small,0,301.910253,570.681353,2.3406,0.5
560,2,Filtered_Large,1,332.160889,319.905820,4.0156,0.5
560,3,Filtered_Small,0,426.166956,236.723594,14.2145,0.5
560,3,Filtered_Large,1,467.016886,499.240987,13.6996,0.5
562,0,Filtered_Small,0,831.428421,247.176018,3.0699,0.5
562,0,Filtered_Large,1,788.443613,569.914693,4.0412,0.5
562,1,Filtered_Small,0,960.157403,637.157737,3.8220,0.5
562,1,Filtered_Large,1,975.016944,634.945126,3.7205,0.5
562,2,Filtered_Small,0,312.146854,570.746145,2.1374,0.5
562,2,Filtered_Large,1,342.404260,319.258806,3.3336,0.5
562,3,Filtered_Small,0,430.823009,236.204045,13.9657,0.5
562,3,Filtered_Large,1,472.232683,499.322986,13.5780,0.5
576,0,Filtered_Small,0,804.560465,236.232396,3.5276,0.5
576,0,Filtered_Large,1,758.581020,555.963659,3.9478,0.5
576,1,Filtered_Small,0,892.628341,623.394248,3.7648,0.5
576,1,Filtered_Large,1,907.737895,622.053910,3.0778,0.5
576,2,Filtered_Small,0,366.345487,562.229171,2.2331,0.5
576,2,Filtered_Large,1,395.640510,309.382181,3.5225,0.5
576,3,Filtered_Small,0,451.666022,225.422855,13.8334,0.5
576,3,Filtered_Large,1,495.527288,491.476407,13.5197,0.5
579,0,Filtered_Small,0,800.021750,232.403566,3.1837,0.5
579,0,Filtered_Large,1,753.871041,550.833945,3.8059,0.5
579,1,Filtered_Small,0,854.669767,331.475990,2.8897,0.5
579,1,Filtered_Large,1,881.852268,618.445582,4.3920,0.5
579,2,Filtered_Small,0,375.272541,558.717882,2.4124,0.5
579,2,Filtered_Large,1,404.582782,305.849234,3.6708,0.5
579,3,Filtered_Small,0,454.962959,221.654437,13.8055,0.5
579,3,Filtered_Large,1,499.195864,488.124865,13.5025,0.5
611,0,Filtered_Small,0,752.556486,200.982110,2.9280,0.5
611,0,Filtered_Large,1,704.521841,517.545617,3.9727,0.5
611,1,Filtered_Small,0,883.755925,586.447660,3.6261,0.5
611,1,Filtered_Large,1,868.556109,589.475374,4.1361,0.5
611,2,Filtered_Small,0,394.011187,530.898703,2.0914,0.5
611,2,Filtered_Large,1,424.374193,281.789128,3.6876,0.5
611,3,Filtered_Small,0,495.189082,196.022939,14.2147,0.5
611,3,Filtered_Large,1,539.646616,458.935125,13.6762,0.5
619,0,Filtered_Small,0,777.646982,194.506421,3.2799,0.5
619,0,Filtered_Large,1,735.392531,516.425907,4.8283,0.5
619,1,Filtered_Small,0,945.004286,586.143208,3.8079,0.5
619,1,Filtered_Large,1,930.109279,588.117199,3.8049,0.5
619,2,Filtered_Small,0,344.131842,527.854547,2.2208,0.5
619,2,Filtered_Large,1,378.416755,280.170231,3.6063,0.5
619,3,Filtered_Small,0,474.472025,195.149660,14.1542,0.5
619,3,Filtered_Large,1,514.571176,455.032871,13.5594,0.5
622,0,Filtered_Small,0,782.089286,191.620484,2.7791,0.5
622,0,Filtered_Large,1,741.167208,514.289351,4.3154,0.5
622,1,Filtered_Small,0,965.143770,584.161450,3.8382,0.5
622,1,Filtered_Large,1,949.997840,586.274064,4.1036,0.5
622,2,Filtered_Small,0,328.975613,525.493203,2.1980,0.5
622,2,Filtered_Large,1,364.002020,278.530311,3.5252,0.5
622,3,Filtered_Small,0,470.973431,193.419585,13.9410,0.5
622,3,Filtered_Large,1,509.634625,452.141100,13.5000,0.5
623,0,Filtered_Small,0,782.240550,190.572466,2.8005,0.5
623,0,Filtered_Large,1,741.966092,513.552347,4.1592,0.5
623,1,Filtered_Small,0,971.137118,583.177915,3.9182,0.5
623,1,Filtered_Large,1,956.039456,585.587279,4.4348,0.5
623,2,Filtered_Small,0,324.664311,524.505025,2.1875,0.5
623,2,Filtered_Large,1,359.913608,278.082984,3.6503,0.5
623,3,Filtered_Small,0,470.676272,192.800551,13.6982,0.5
623,3,Filtered_Large,1,508.953146,451.188299,13.3258,0.5
630,0,Filtered_Small,0,775.752279,182.734574,2.9346,0.5
630,0,Filtered_Large,1,735.700008,505.170066,4.1290,0.5
630,1,Filtered_Small,0,1009.182349,575.614775,4.0234,0.5
630,1,Filtered_Large,1,994.063850,578.818775,4.5717,0.5
630,2,Filtered_Small,0,315.168335,517.305553,1.5290,0.5
630,2,Filtered_Large,1,336.292616,271.459703,3.8429,0.5
630,3,Filtered_Small,0,477.853280,186.534979,13.5953,0.5
630,3,Filtered_Large,1,513.732924,441.851110,13.2681,0.5
634,0,Filtered_Small,0,771.110940,177.758604,2.9964,0.5
634,0,Filtered_Large,1,732.342851,503.413738,3.8206,0.5
634,1,Filtered_Small,0,1030.588818,574.078059,4.2494,0.5
634,1,Filtered_Large,1,1015.089912,576.984431,4.1698,0.5
634,2,Filtered_Small,0,286.064874,513.040465,2.1081,0.5
634,2,Filtered_Large,1,322.965812,269.839275,4.1080,0.5
634,3,Filtered_Small,0,481.649296,184.549640,13.9308,0.5
634,3,Filtered_Large,1,516.207375,438.620735,13.6199,0.5
636,0,Filtered_Small,0,770.200026,176.925305,2.9452,0.5
636,0,Filtered_Large,1,731.983386,503.038678,3.9006,0.5
636,1,Filtered_Small,0,1041.836398,573.996113,3.9968,0.5
636,1,Filtered_Large,1,1025.960234,576.369994,3.9107,0.5
636,2,Filtered_Small,0,294.005905,513.807246,1.6217,0.5
636,2,Filtered_Large,1,316.188112,269.331025,3.5803,0.5
636,3,Filtered_Small,0,482.651064,184.277415,13.8869,0.5
636,3,Filtered_Large,1,516.417596,437.758686,13.3976,0.5
637,0,Filtered_Small,0,769.950141,176.365550,3.0475,0.5
637,0,Filtered_Large,1,732.254535,503.342202,3.8535,0.5
637,1,Filtered_Small,0,1046.963415,572.904677,4.2383,0.5
637,1,Filtered_Large,1,1031.507955,577.507886,3.4951,0.5
637,2,Filtered_Small,0,274.780939,512.263058,2.1135,0.5
637,2,Filtered_Large,1,312.313654,269.557638,4.0908,0.5
637,3,Filtered_Small,0,482.944402,184.352972,13.7354,0.5
637,3,Filtered_Large,1,516.334885,437.554104,13.3701,0.5
640,0,Filtered_Small,0,770.743915,176.287658,3.5413,0.5
640,0,Filtered_Large,1,734.172256,504.861113,4.2848,0.5
640,1,Filtered_Small,0,1063.700505,575.451059,4.0354,0.5
